Best Score, SEED, HMIN, HMAX, T, TMAX, MMAX, alpha, beta, gamma, LAMBDA
8.3346, 1070151, 3, 5, 1259, 1869, 5322, 3.29366, 0.0256975, 0.229648, 15
8.32234, 1070152, 3, 4, 429, 869, 1218, 3.58414, 0.00171552, 0.0511202, 3
8.18135, 1070153, 4, 7, 13474, 33677, 73746, 1.33153, 0.521606, 0.723721, 17
8.27329, 1070154, 6, 6, 1441, 3796, 4004, 1.60589, 0.632831, 0.175491, 10
8.23895, 1070155, 5, 7, 5219, 10269, 16849, 2.7504, 0.195317, 0.0433621, 7
8.26026, 1070156, 6, 6, 3419, 7842, 10673, 2.17814, 0.00023503, 0.34338, 16
8.23788, 1070157, 5, 6, 4043, 10622, 27863, 3.31184, 0.357995, 0.097483, 14
8.37747, 1070158, 3, 6, 6006, 6521, 7242, 2.23595, 0.454116, 0.711425, 3
8.52067, 1070159, 3, 3, 244, 435, 992, 2.21822, 0.450425, 0.786975, 14
8.42424, 1070160, 3, 4, 818, 1600, 3525, 1.72431, 0.561527, 0.293961, 15
8.36835, 1070161, 3, 7, 5638, 6566, 18333, 2.52805, 0.161324, 0.861262, 7
8.2616, 1070162, 3, 7, 6371, 11286, 24508, 2.14172, 0.564868, 0.420436, 10
8.24242, 1070163, 4, 5, 2070, 3010, 6566, 1.13297, 0.0791339, 0.393665, 7
8.28304, 1070164, 6, 7, 4158, 8166, 19337, 3.35692, 0.830876, 0.986157, 10
8.27027, 1070165, 5, 6, 3475, 6929, 16641, 2.8819, 0.613982, 0.797394, 17
8.43751, 1070166, 4, 4, 639, 1279, 3483, 2.06064, 0.0461821, 0.573672, 17
8.37352, 1070167, 3, 4, 817, 1074, 2652, 1.32848, 0.0245152, 0.482818, 12
8.3195, 1070168, 3, 7, 12481, 17013, 48985, 1.42296, 0.270747, 0.941462, 20
8.28905, 1070169, 4, 7, 10198, 12926, 17035, 3.26633, 0.484412, 0.815726, 21
8.34398, 1070170, 3, 4, 778, 2358, 6070, 3.86809, 0.376358, 0.724611, 3
8.22503, 1070171, 5, 6, 4820, 12590, 25393, 1.26912, 0.210114, 0.779619, 8
8.17949, 1070172, 4, 7, 8528, 22674, 37116, 2.1299, 0.907719, 0.788338, 6
8.2476, 1070173, 4, 4, 721, 873, 1310, 3.9457, 0.306153, 0.427414, 7
8.46189, 1070174, 4, 5, 2002, 3058, 3450, 3.72543, 0.323092, 0.554736, 12
8.36811, 1070175, 3, 4, 608, 1773, 4799, 2.71083, 0.7765, 0.39835, 9
8.38576, 1070176, 4, 5, 1112, 1687, 3739, 3.14576, 0.136691, 0.925541, 5
8.30015, 1070177, 5, 5, 1064, 1916, 3666, 3.73765, 0.896385, 0.540602, 14
8.32901, 1070178, 7, 7, 3207, 7058, 11954, 1.67573, 0.630764, 0.721254, 12
8.36809, 1070179, 4, 5, 1078, 2164, 6392, 3.37877, 0.0549065, 0.792528, 9
8.56263, 1070180, 4, 4, 368, 556, 778, 3.88939, 0.169677, 0.0981776, 13
8.28819, 1070181, 6, 7, 8386, 25079, 30913, 1.66532, 0.206954, 0.156552, 8
8.14551, 1070182, 7, 7, 4393, 12030, 35821, 3.79023, 0.543081, 0.0967184, 11
8.27247, 1070183, 5, 6, 3078, 7190, 16162, 2.60822, 0.754903, 0.15454, 16
8.21271, 1070184, 5, 7, 9669, 21969, 47280, 1.32102, 0.166455, 0.460872, 21
8.32736, 1070185, 3, 5, 1602, 2454, 6063, 2.84631, 0.376508, 0.445602, 4
